Time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
9378.958897446986,1.1207630000000002,-0.9748129999999999,-0.0889007,1.128064,-0.630504,-0.6745542999999999,1.01654,-0.5369476,-0.1924174,0.3587724,-0.1323651,-0.29475599999999996,0.1840503,-0.02591722,0.5547968999999999,-0.7041860000000001,1.056734,-0.1849855,-0.832797,0.2573613,0.1218007,-0.6282745,0.00568358,0.1575665,0.1622922
9379.209895454947,1.581818,-1.002197,-0.2807301,0.974442,-0.574574,-0.7193269999999999,1.047242,-0.4524667,-0.2076305,0.2854607,-0.03874647,-0.36776319999999996,0.09305870000000001,0.037189950000000006,0.5473979000000001,-0.5960031,0.874335,0.203504,-0.989394,0.050991009999999996,0.29027390000000003,-0.4629807,-0.10751440000000001,0.04030327,0.4486181
9379.544559465561,1.9681899999999999,-0.9948400000000001,-0.4506845,0.7997289999999999,-0.46190129999999996,-0.719509,1.000524,-0.3449299,-0.22204559999999998,0.18399849999999998,0.05697321,-0.41260660000000005,-0.008271269999999999,0.10443859999999999,0.5120346,-0.4347455,0.5827129,0.5901406,-1.092875,-0.1770034,0.46123559999999997,-0.293811,-0.2163301,-0.0674681,0.6965413
9379.79555747352,2.1973000000000003,-0.948661,-0.5960094,0.6265147,-0.29585849999999997,-0.6725145,0.8867109999999999,-0.2186261,-0.2364782,0.0718522,0.1517579,-0.42522340000000003,-0.11497990000000001,0.1670214,0.44173149999999994,-0.2328886,0.2482298,0.9212560000000001,-1.135218,-0.41394359999999997,0.6257216,-0.1279446,-0.3188052,-0.1697178,0.8671249999999999
9380.046555481482,2.157463,-0.8625120000000001,-0.71435,0.4702131,-0.0848855,-0.5810924,0.721616,-0.0774494,-0.2526762,-0.03645754,0.2405704,-0.4025126,-0.2200016,0.2159507,0.3352776,-0.0052043110000000005,-0.0773171,1.1315009999999999,-1.109829,-0.6409214000000001,0.776188,0.0335237,-0.41530510000000004,-0.2682869,0.935655
9380.381219492096,1.797145,-0.737758,-0.805105,0.337561,0.16198769999999998,-0.4556818,0.5199628000000001,0.0749567,-0.2715244,-0.1331806,0.3133242,-0.3442607,-0.3139388,0.2440424,0.2012213,0.2310966,-0.3613897,1.168895,-1.013803,-0.837067,0.9018029999999999,0.1919043,-0.5062736,-0.3616137,0.901628
9380.632217500055,1.186108,-0.5733959,-0.869925,0.22594109999999998,0.4372991,-0.3125654,0.2933798,0.2341192,-0.29150519999999996,-0.21644349999999998,0.35582959999999997,-0.2544703,-0.38654,0.2468459,0.056992390000000004,0.455259,-0.5846813,1.023897,-0.8486450000000001,-0.983654,0.984018,0.34364609999999995,-0.5903695,-0.4466602,0.7868909999999999
9380.883215508016,0.4677568,-0.36643319999999996,-0.9104479999999999,0.125741,0.73178,-0.16982979999999998,0.05296816,0.3938949,-0.3090311,-0.2867039,0.3554313,-0.1409184,-0.42940310000000004,0.2228359,-0.0770651,0.6433434,-0.736253,0.7365750000000001,-0.6187678,-1.067885,0.998606,0.47540780000000005,-0.6639283,-0.5211094000000001,0.6229068999999999
9381.217879518628,-0.23146830000000002,-0.117222,-0.92694,0.02532019,1.0283,-0.0432173,-0.18843089999999998,0.5463661,-0.3195066,-0.3437602,0.30721390000000004,-0.01439921,-0.4375546,0.17356850000000001,-0.1844927,0.772149,-0.810936,0.37567880000000003,-0.329889,-1.084818,0.925533,0.5667081,-0.721189,-0.5835382,0.43666
9381.46887752659,-0.839615,0.1669703,-0.918624,-0.08448370000000001,1.29647,0.05747371,-0.4167758,0.681926,-0.3182452,-0.3856902,0.21666819999999998,0.111643,-0.40943209999999997,0.1034362,-0.2565899,0.826693,-0.806778,0.00900599,0.00962059,-1.036105,0.760508,0.5999441,-0.754474,-0.6318178999999999,0.24378200000000003
9381.719875534549,-1.323168,0.4708914,-0.883925,-0.2076564,1.4925259999999998,0.13026859999999998,-0.6187138999999999,0.78974,-0.30128140000000003,-0.4096113,0.09774870000000001,0.22204139999999997,-0.34665330000000005,0.01885856,-0.29284639999999995,0.806911,-0.72394,-0.3143693,0.3830645,-0.9264009999999999,0.5194371,0.5713119999999999,-0.754761,-0.6620670000000001,0.05065109
9382.054539545163,-1.667519,0.771631,-0.821135,-0.3421292,1.570009,0.1803718,-0.7828379999999999,0.859026,-0.2657907,-0.4131288,-0.03222016,0.3020773,-0.2541574,-0.0726747,-0.2989847,0.727881,-0.5660605999999999,-0.5671351,0.756602,-0.760333,0.23314269999999998,0.49493289999999995,-0.714021,-0.6698244,-0.13938959999999997
9382.305537553124,-1.8707079999999998,1.041796,-0.72968,-0.4808419,1.499498,0.2176104,-0.899493,0.880831,-0.21016659999999998,-0.395157,-0.1577541,0.3407222,-0.1403227,-0.16353820000000002,-0.2838549,0.6128038,-0.3417134,-0.738787,1.074213,-0.5424327999999999,-0.06306902,0.3976735,-0.6285132,-0.6521984,-0.3214974
9382.556535561083,-1.938671,1.2545609999999998,-0.6110937000000001,-0.6141919,1.284801,0.2526223,-0.959805,0.850003,-0.1344133,-0.35602910000000004,-0.26778989999999997,0.3339,-0.01657446,-0.2467647,-0.2562518,0.48326250000000004,-0.0654423,-0.827351,1.268113,-0.2799475,-0.3384374,0.3086881,-0.5002802,-0.6084169,-0.4884971
9382.891199571697,-1.8777220000000001,1.388289,-0.4697567,-0.732907,0.962801,0.2924467,-0.956018,0.7670250000000001,-0.04078564,-0.29791439999999997,-0.35553559999999995,0.2858128,0.1038912,-0.31642939999999997,-0.222075,0.35261939999999997,0.2403688,-0.831705,1.287328,0.01352771,-0.5716004,0.24988459999999998,-0.33521320000000004,-0.5383007,-0.6318396
9383.142197579657,-1.690521,1.430394,-0.3129329,-0.830634,0.5865657,0.337484,-0.884254,0.6385393,0.06618115000000001,-0.2256765,-0.4175066,0.2069165,0.2081751,-0.3677639,-0.1822401,0.2257094,0.5433771000000001,-0.74963,1.126573,0.31741149999999996,-0.751884,0.2309594,-0.1400294,-0.44074240000000003,-0.742217
9383.393195587618,-1.37879,1.378482,-0.1492428,-0.904778,0.20389459999999998,0.38227350000000004,-0.7481880000000001,0.4756185,0.18060559999999998,-0.14711339999999998,-0.4529763,0.1095955,0.2855902,-0.3972647,-0.1327774,0.1033662,0.802984,-0.5821774000000001,0.830067,0.6083392,-0.8778,0.2488822,0.07823200000000001,-0.3140746,-0.81011
9383.727859598232,-0.94913,1.236305,0.01398173,-0.954471,-0.1546888,0.4204004,-0.5605943,0.2905203,0.296618,-0.0717794,-0.4634224,0.004279786,0.3286262,-0.4024167,-0.06841156000000001,-0.013068020000000001,0.97895,-0.3386047,0.4663008,0.8651369999999999,-0.953043,0.29023190000000004,0.3095155,-0.15792,-0.827666
9383.978857606191,-0.41848450000000004,1.008994,0.172508,-0.977039,-0.47420799999999996,0.4508581,-0.3413102,0.0940422,0.4093229,-0.00857472,-0.4512564,-0.10198650000000001,0.3332063,-0.3809393,0.01157576,-0.120911,1.044645,-0.03767953,0.09706479999999999,1.067871,-0.981638,0.33543649999999997,0.5380123,0.025185790000000003,-0.7917420000000001
9384.229855614152,0.17701109999999998,0.704221,0.3252046,-0.966658,-0.746228,0.4814075,-0.1122296,-0.10518340000000001,0.5146078000000001,0.03713143,-0.41802249999999996,-0.2044448,0.2987929,-0.33079970000000003,0.0987581,-0.2178463,0.997297,0.29300040000000005,-0.23604209999999998,1.191946,-0.965461,0.3643227,0.7426510000000001,0.2290477,-0.7062229999999999
9384.564519624766,0.768096,0.33762610000000004,0.47249369999999996,-0.9167059999999999,-0.962367,0.52514,0.1084412,-0.2995069,0.6076399,0.06549389,-0.3632825,-0.2983211,0.2283645,-0.2520294,0.1754753,-0.3026065,0.857927,0.6169415,-0.5076113,1.2080669999999998,-0.905142,0.36144780000000004,0.901061,0.4431056,-0.5818127000000001
9384.815517632725,1.252587,-0.06522761,0.6135619,-0.8238789999999999,-1.1146239999999998,0.5906299,0.3096681,-0.4803708,0.6812127,0.08181459999999999,-0.2855958,-0.377286,0.1282491,-0.1491553,0.22005059999999999,-0.37356059999999996,0.6605578,0.8903719999999999,-0.701638,1.095164,-0.802284,0.3191664,0.9946929999999999,0.6513535,-0.43341759999999996
9385.066515640687,1.5334619999999999,-0.4724909,0.743841,-0.6903777999999999,-1.199548,0.6719433,0.48677790000000004,-0.6375263999999999,0.725739,0.0937664,-0.185717,-0.4340364,0.00800009,-0.03204019,0.2153564,-0.42710570000000003,0.43839809999999996,1.07016,-0.8098160000000001,0.857773,-0.6603723,0.2375989,1.0128089999999998,0.8323419999999999,-0.27669530000000003
9385.401179651299,1.576589,-0.851676,0.855344,-0.5228629,-1.220527,0.746228,0.63721,-0.7605149999999999,0.731479,0.1081297,-0.06995596999999999,-0.4624879,-0.11998,0.085596,0.15669219999999998,-0.4576719,0.2153221,1.127049,-0.83097,0.5313973,-0.48452880000000004,0.1224006,0.954345,0.9623879999999999,-0.125272
